COD_MUNICIPIO;MUNICIPIO;UG;;
05219;San Pascual;99432;;
05220;San Pedro del Arroyo;99432;;
05221;Santa Cruz del Valle;99432;;
05222;Santa Cruz de Pinares;99432;;
05224;Santa María del Arroyo;99432;;
05225;Santa María del Berrocal;99432;;
05226;Santa María de los Caballeros;99432;;
05227;Santa María del Tiétar;99432;;
05228;Santiago del Collado;99432;;
05229;Santo Domingo de las Posadas;99432;;
05230;Santo Tomé de Zabarcos;99432;;
05231;San Vicente de Arévalo;99432;;
05232;Serrada, La;99432;;
05233;Serranillos;99432;;
05234;Sigeres;99432;;
05235;Sinlabajos;99432;;
05236;Solana de Ávila;99432;;
05237;Solana de Rioalmar;99432;;
05238;Solosancho;99432;;
05239;Sotalbo;99432;;
05240;Sotillo de la Adrada;99432;;
05241;Tiemblo, El;99432;;
05242;Tiñosillos;99432;;
05243;Tolbaños;99432;;
05244;Tormellas;99432;;
05245;Tornadizos de Ávila;99432;;
05246;Tórtoles;99432;;
05247;Torre, La;99432;;
05249;Umbrías;99432;;
05251;Vadillo de la Sierra;99432;;
05252;Valdecasa;99432;;
05253;Vega de Santa María;99432;;
05254;Velayos;99432;;
05256;Villaflor;99432;;
05257;Villafranca de la Sierra;99432;;
05258;Villanueva de Gómez;99432;;
05259;Villanueva del Aceral;99432;;
05260;Villanueva del Campillo;99432;;
05261;Villar de Corneja;99432;;
05262;Villarejo del Valle;99432;;
05263;Villatoro;99432;;
05264;Viñegra de Moraña;99432;;
05265;Vita;99432;;
05266;Zapardiel de la Cañada;99432;;
05267;Zapardiel de la Ribera;99432;;
05901;San Juan de Gredos;99432;;
05902;Santa María del Cubillo;99451;;
05903;Diego del Carpio;99432;;
05904;Santiago del Tormes;99432;;
05905;Villanueva de Ávila;99432;;
06001;Acedera;06001;;
06002;Aceuchal;06002;;
06003;Ahillones;06003;;
06004;Alange;06004;;
06005;Albuera, La;06005;;
06006;Alburquerque;06006;;
06007;Alconchel;06007;;
06008;Alconera;06008;;
06009;Aljucén;06009;;
06010;Almendral;06010;;
06011;Almendralejo;06011;;
06012;Arroyo de San Serván;06012;;
06013;Atalaya;06013;;
06014;Azuaga;06014;;
06015;Badajoz;06015;;
06016;Barcarrota;06016;;
06017;Baterno;06017;;
06018;Benquerencia de la Serena;06018;;
06019;Berlanga;06019;;
06020;Bienvenida;06020;;
06021;Bodonal de la Sierra;06021;;
06022;Burguillos del Cerro;06022;;
06023;Cabeza del Buey;06023;;
06024;Cabeza la Vaca;06024;;
06025;Calamonte;06025;;
06026;Calera de León;06026;;
06027;Calzadilla de los Barros;06027;;
06028;Campanario;06028;;
06029;Campillo de Llerena;06029;;
06030;Capilla;06030;;
06031;Carmonita;06031;;
06032;Carrascalejo, El;06032;;
06033;Casas de Don Pedro;06033;;
06034;Casas de Reina;06034;;
06035;Castilblanco;06035;;
06036;Castuera;06036;;
06037;Codosera, La;06037;;
06038;Cordobilla de Lácara;06038;;
06039;Coronada, La;06039;;
06040;Corte de Peleas;06040;;
06041;Cristina;06041;;
06042;Cheles;06042;;
06043;Don Álvaro;06043;;
06044;Don Benito;06044;;
06045;Entrín Bajo;06045;;
06046;Esparragalejo;06046;;
06047;Esparragosa de la Serena;06047;;
06048;Esparragosa de Lares;06048;;
06049;Feria;06049;;
06050;Fregenal de la Sierra;06050;;
06051;Fuenlabrada de los Montes;06051;;
06052;Fuente de Cantos;06052;;
06053;Fuente del Arco;06053;;
06054;Fuente del Maestre;06054;;
06055;Fuentes de León;06055;;
06056;Garbayuela;06056;;
06057;Garlitos;06057;;
06058;Garrovilla, La;06058;;
06059;Granja de Torrehermosa;06059;;
06060;Guareña;06060;;
06061;Haba, La;06061;;
06062;Helechosa de los Montes;06062;;
06063;Herrera del Duque;06063;;
06064;Higuera de la Serena;06064;;
06065;Higuera de Llerena;06065;;
06066;Higuera de Vargas;06066;;
06067;Higuera la Real;06067;;
06068;Hinojosa del Valle;06068;;
06069;Hornachos;06069;;
06070;Jerez de los Caballeros;06070;;
06071;Lapa, La;06071;;
06072;Lobón;06072;;
06073;Llera;06073;;
06074;Llerena;06074;;
06075;Magacela;06075;;
06076;Maguilla;06076;;
06077;Malcocinado;06077;;
06078;Malpartida de la Serena;06078;;
06079;Manchita;06079;;
06080;Medellín;06080;;
06081;Medina de las Torres;06081;;
06082;Mengabril;06082;;
06083;Mérida;06083;;
06084;Mirandilla;06084;;
06085;Monesterio;06085;;
06086;Montemolín;06086;;
06087;Monterrubio de la Serena;06087;;
06088;Montijo;06088;;
06089;Morera, La;06089;;
06090;Nava de Santiago, La;06090;;
06091;Navalvillar de Pela;06091;;
06092;Nogales;06092;;
06093;Oliva de la Frontera;06093;;
06094;Oliva de Mérida;06094;;
06095;Olivenza;06095;;
06096;Orellana de la Sierra;06096;;
06097;Orellana la Vieja;06097;;
06098;Palomas;06098;;
06099;Parra, La;06099;;
06100;Peñalsordo;06100;;
06101;Peraleda del Zaucejo;06101;;
