MUNICIPIO;COD_PROVINCIA;COD_MUNICIPIO;COD_CCAA;NUM_CONTENEDORES; HABITANTES ;
Terrassa;8;08279;8;1266; 223.627 ;
Tavertet;8;08280;8;3; 105 ;
Teià;8;08281;8;86; 6.427 ;
Tiana;8;08282;8;64; 8.945 ;
Tona;8;08283;8;33; 8.356 ;
Tordera;8;08284;8;94; 17.519 ;
Torelló;8;08285;8;84; 14.400 ;
Torre de Claramunt, La;8;08286;8;33; 3.741 ;
Torrelavit;8;08287;8;7; 1.422 ;
Torrelles de Foix;8;08288;8;17; 2.398 ;
Torrelles de Llobregat;8;08289;8;29; 6.073 ;
Ullastrell;8;08290;8;28; 2.089 ;
Vacarisses;8;08291;8;60; 6.832 ;
Vallbona d`Anoia;8;08292;8;12; 1.357 ;
Vallcebre;8;08293;8;3; 249 ;
Vallgorguina;8;08294;8;28; 2.988 ;
Vallirana;8;08295;8;130; 15.312 ;
Vallromanes;8;08296;8;35; 2.558 ;
Veciana;8;08297;8;1; 175 ;
Vic;8;08298;8;283; 47.630 ;
Vilada;8;08299;8;12; 419 ;
Viladecavalls;8;08300;8;130; 7.545 ;
Viladecans;8;08301;8;238; 67.197 ;
Vilanova del Camí;8;08302;8;56; 12.596 ;
Vilanova de Sau;8;08303;8;13; 312 ;
Vilobí del Penedès;8;08304;8;18; 1.102 ;
Vilafranca del Penedès;8;08305;8;186; 40.154 ;
Vilalba Sasserra;8;08306;8;9; 753 ;
Vilanova i la Geltrú;8;08307;8;231; 67.733 ;
Viver i Serrateix;8;08308;8;6; 172 ;
Rupit i Pruit;8;08901;8;4; 271 ;
Vilanova del Vallès;8;08902;8;40; 5.503 ;
Sant Julià de Cerdanyola;8;08903;8;1; 229 ;
Badia del Vallès;8;08904;8;37; 13.415 ;
Palma de Cervelló, La;8;08905;8;16; 2.992 ;
Agullana;17;17001;8;10; 863 ;
Aiguaviva;17;17002;8;8; 765 ;
Albanyà;17;17003;8;5; 155 ;
Albons;17;17004;8;16; 759 ;
Far d`Empordà, El;17;17005;8;4; 602 ;
Alp;17;17006;8;24; 1.593 ;
Amer;17;17007;8;24; 2.332 ;
Anglès;17;17008;8;27; 5.654 ;
Arbúcies;17;17009;8;40; 6.608 ;
Argelaguer;17;17010;8;7; 396 ;
Armentera, L`;17;17011;8;10; 951 ;
Avinyonet de Puigventós;17;17012;8;8; 1.641 ;
Begur;17;17013;8;21; 3.891 ;
Vajol, La;17;17014;8;1; 89 ;
Banyoles;17;17015;8;90; 20.053 ;
Bàscara;17;17016;8;14; 1.001 ;
Bellcaire d`Empordà;17;17018;8;10; 678 ;
Besalú;17;17019;8;26; 2.487 ;
Bescanó;17;17020;8;50; 4.991 ;
Beuda;17;17021;8;3; 186 ;
Bisbal d`Empordà, La;17;17022;8;47; 11.159 ;
Blanes;17;17023;8;276; 39.914 ;
Bolvir;17;17024;8;17; 375 ;
Bordils;17;17025;8;8; 1.761 ;
Borrassà;17;17026;8;12; 733 ;
Breda;17;17027;8;31; 3.762 ;
Brunyola;17;17028;8;9; 389 ;
Boadella i les Escaules;17;17029;8;4; 272 ;
Cabanes;17;17030;8;6; 968 ;
Cabanelles;17;17031;8;7; 267 ;
Cadaqués;17;17032;8;44; 2.695 ;
Caldes de Malavella;17;17033;8;57; 7.872 ;
Calonge;17;17034;8;133; 11.331 ;
Camós;17;17035;8;7; 677 ;
Campdevànol;17;17036;8;36; 3.232 ;
Campelles;17;17037;8;4; 140 ;
Campllong;17;17038;8;10; 537 ;
